store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
1.51504E+17,60,13.48,94.38,0,0,0
1.4802E+17,0,0,0,60,10.25,71.25
1.62706E+17,60,9.83,68.83,0,0,0
1.50191E+17,60,10.5,87,0,0,0
1.07098E+17,60,10.04,90.82,0,3.96,7.18
1.68366E+17,60,14,98,0,0,0
1.50719E+17,0,0,36.5,60,12.5,51
1.4243E+17,60,14,98,0,0,0
1.3749E+17,60,12.5,79.5,0,0,0
1.68027E+17,0,0,0,60,13,91
1.78216E+17,0,0,0,60,24,168
1.64613E+17,0,13,91,60,0,0
1.58407E+17,0,0,0,60,12,84
1.72108E+17,0,0,0,60,24,168
1.55189E+17,60,13.5,88.5,0,0,0
1.74082E+17,60,24,161,0,0,7
1.61284E+17,0,0,35.83,60,12,48.17
1.30955E+17,0,0,0,60,13.5,92
1.56529E+17,60,13.07,58.89,0,10.93,109.11
1.40579E+17,60,7.17,50.17,0,0,0
1.45837E+17,60,16.98,104.93,0,0,0
1.41753E+17,60,23.98,167.88,0,0,0
1.77569E+17,0,0,0,60,0.5,3.5
1.63605E+17,0,0,54.73,60,24,113.27
1.851E+17,60,15,107,0,0,0
1.86067E+17,60,15,103,0,0,0
1.68921E+17,60,24,159.03,0,0,8.97
1.4794E+17,0,0,0,60,12,84
1.69229E+17,0,0,70.17,60,24,97.83
1.73114E+17,60,12.98,89.93,0,0,0
1.72113E+17,0,11,64,60,0,11
1.65802E+17,60,12,84,0,0,0
1.99227E+17,60,7,49,0,0,0
1.7824E+17,60,24,166.19,0,0,1.81
1.78863E+17,60,24,168,0,0,0
1.71819E+17,60,13.5,92,0,0,0
1.89888E+17,0,0,0,60,12.98,90.88
1.76728E+17,0,1.78,44,60,0,0
1.73009E+17,0,16.86,159.77,60,7.14,8.23
1.58672E+17,60,10.5,73.5,0,0,0
1.57674E+17,60,11,77,0,0,0
1.88984E+17,60,5,35,0,0,0
1.86028E+17,0,9.5,78,60,0,0
1.61304E+17,0,0,0,60,24,168
2.09522E+17,0,0,0,60,24,168
1.85942E+17,0,13,91,60,0,0
1.91562E+17,60,13,87,0,0,0
1.95361E+17,60,23.98,167.88,0,0,0
1.94983E+17,0,0,0,60,24,168
2.0086E+17,60,9.5,62.5,0,0,0
1.63684E+17,60,23.98,160.4,0,0,0
2.16717E+17,60,10,83,0,0,0
1.06468E+17,60,9,63,0,0,0
2.13125E+17,0,0,0,60,24,168
1.98267E+17,0,0,0,60,16.5,115.5
2.03579E+17,60,24,168,0,0,0
1.95849E+17,0,0,47.79,60,17.98,78.09
1.9322E+17,0,0,0,60,13.5,92
2.07553E+17,60,23.98,167.88,0,0,0
1.93361E+17,0,0,0,60,12,84
2.17234E+17,60,11,46.22,0,0,23.78
2.21032E+17,60,14.98,99.88,0,0,0
2.29555E+17,0,0,0,60,24,168
2.10469E+17,60,14,98,0,0,0
1.8522E+17,60,17.98,125.88,0,0,0
2.19695E+17,60,24,168,0,0,0
2.19482E+17,60,10,71,0,0,0
2.18497E+17,60,24,102,0,0,0
2.18838E+17,0,6.98,48.88,60,0,0
2.20389E+17,60,23.98,165.9,0,0,1.98
1.55314E+17,60,24,138.22,0,0,29.78
2.00183E+17,0,0,0,60,24,168
1.90587E+17,60,23.98,167.88,0,0,0
1.88201E+17,60,13,87,0,0,0
1.80898E+17,60,17,110,0,0,0
2.2164E+17,0,0,24.5,60,9.5,38
2.23865E+17,60,12.5,87.5,0,0,0
1.97111E+17,0,0,0,60,5.78,57
1.80254E+17,60,7,84.5,0,0,0
2.2225E+17,60,23.02,162.63,0,0.96,5.26
1.93199E+17,0,0,0,60,24,168
1.86782E+17,60,13.98,97.88,0,0,0
1.94064E+17,60,17,118,0,0,0
1.71913E+17,60,24,168,0,0,0
1.94445E+17,60,18,126,0,0,0
2.2573E+17,60,24,168,0,0,0
1.97326E+17,0,0,0,60,9,78
2.29393E+17,60,12,85.97,0,0,0
2.18418E+17,60,16,111,0,0,0
1.96776E+17,60,24,168,0,0,0
2.24226E+17,60,18,126,0,0,0
1.99385E+17,60,23.98,160.4,0,0,0
1.91332E+17,60,4.5,39,0,0,0
2.36194E+17,60,12.5,87.5,0,0,0
2.30165E+17,60,10,72,0,0,0
2.31927E+17,0,2.8,69.8,60,8.2,8.2
1.46744E+17,0,0,0,60,10,83
2.07147E+17,60,24,168,0,0,0
2.1249E+17,0,0,0,60,24,168
2.00167E+17,60,12.98,90.88,0,0,0
2.42711E+17,60,13.98,97.88,0,0,0
2.41103E+17,60,6.5,63,0,0,0
2.31622E+17,0,4.98,32.4,60,0,0
2.23111E+17,0,0,0,60,8.5,59.5
2.39878E+17,60,8.75,60.25,0,0,0
1.99261E+17,0,8,41.75,60,0,24
2.31335E+17,0,0,35.89,60,12,48.11
2.29756E+17,60,14.5,101.5,0,0,0
2.26728E+17,60,10,70,0,0,0
2.33202E+17,60,8,56,0,0,0
2.25248E+17,60,13.75,96.25,0,0,0
2.40098E+17,0,11,77,60,0,0
2.36849E+17,0,4.5,70.5,60,0,0
2.32226E+17,0,0,0,60,24,168
2.26072E+17,0,0,0,60,24,168
2.45255E+17,60,17.98,125.88,0,0,0
2.41882E+17,60,10.18,147,0,13.82,21
2.31626E+17,0,0,0,60,12.98,90.88
2.46416E+17,60,12.5,87.5,0,0,0
2.40844E+17,0,0,0,60,24,168
2.47628E+17,60,25.5,75.5,0,0,0
2.36628E+17,60,24,165.9,0,0,2.1
2.51178E+17,60,9,63,0,0,0
2.12183E+17,0,0,0,60,12,84
2.35721E+17,0,0,0,60,12,84
2.47257E+17,60,24,168,0,0,0
2.34569E+17,0,0,0,60,24,168
2.40743E+17,0,0,0,60,24,168
2.57009E+17,60,12,84,0,0,0
2.2212E+17,60,9.5,73.47,0,0,0
2.60482E+17,60,10.25,73.75,0,0,0
1.91536E+17,60,13.98,97.88,0,0,0
2.55282E+17,60,13.05,157.05,0,10.95,10.95
2.62841E+17,60,16,108,0,0,0
2.36338E+17,0,10,84,60,0,0
2.29647E+17,60,23.98,167.88,0,0,0
2.87192E+17,60,24,168,0,0,0
2.64518E+17,60,13,91,0,0,0
2.38655E+17,60,24,168,0,0,0
2.67284E+17,60,16.25,113.75,0,0,0
2.32484E+17,60,24,168,0,0,0
2.4268E+17,0,0,0,60,24,168
2.84239E+17,0,10,70,60,0,0
2.7669E+17,60,10,71,0,0,0
2.90924E+17,60,14,98,0,0,0
2.84087E+17,0,0,0,60,24,168
2.73329E+17,60,12.5,86.47,0,0,0
2.43398E+17,60,24,112.5,0,0,0
2.77448E+17,0,0,0,60,12,84
2.72819E+17,60,23.98,167.88,0,0,0
2.09183E+17,0,0,0,60,12,84
2.30887E+17,0,0.02,46.8,60,15.98,65.2
2.69542E+17,60,11.5,88.5,0,0,0
1.68576E+17,60,23.98,167.88,0,0,0
2.60465E+17,60,10.5,71.47,0,0,0
2.45176E+17,0,0,32,60,10.67,43.67
2.42071E+17,60,25.5,153.5,0,0,0
2.63217E+17,60,24,168,0,0,0
2.63527E+17,60,24,168,0,0,0
2.74615E+17,60,13.5,95.95,0,0,0
2.55571E+17,0,0,0,60,12,84
2.46506E+17,0,5.75,58.5,60,0,0
2.31472E+17,60,24,168,0,0,0
2.90953E+17,0,0,40.74,60,11,36.26
2.34404E+17,0,10.5,75,60,0,0
2.62329E+17,0,0,0,60,8.5,61.5
2.88312E+17,0,12.98,90.88,60,0,0
2.61117E+17,0,0,44,60,10.5,42
2.7411E+17,60,21.97,158.65,0,2.01,9.24
2.41792E+17,0,0,0,60,24,168
2.73631E+17,0,0,0,60,24,168
2.85718E+17,60,11.75,81.25,0,0,0
2.41824E+17,60,23.98,167.88,0,0,0
2.77585E+17,60,7.17,50.17,0,0,0
2.4709E+17,0,0,0,60,24,39
2.71959E+17,60,10,66,0,0,0
2.75283E+17,60,24,168,0,0,0
2.27735E+17,60,16,112,0,0,0
2.87937E+17,0,0,0,60,11,77
2.84602E+17,60,18,124,0,0,0
2.88475E+17,60,12,56.82,0,12,111.18
2.59693E+17,60,22.93,159.71,0,1.07,8.29
2.97496E+17,60,16,112,0,0,0
2.78905E+17,60,8,90,0,0,0
2.52637E+17,0,3.89,136.78,60,20.09,31.1
2.82961E+17,60,9.5,66.5,0,0,0
3.23268E+17,60,13.75,60,0,0,0
3.09736E+17,60,13.5,88.5,0,0,0
2.84503E+17,0,0,27,60,9,36
2.99332E+17,60,24,168,0,0,0
2.84698E+17,60,16,112,0,0,0
3.05363E+17,60,24,168,0,0,0
2.9115E+17,60,24,168,0,0,0
2.96325E+17,60,17.98,125.88,0,0,0
2.72039E+17,60,24,168,0,0,0
2.54936E+17,60,24,168,0,0,0
2.99634E+17,0,0,19.85,60,7,29.15
2.45858E+17,0,5.78,49.67,60,1.22,47.31
3.04199E+17,0,12.98,89.93,60,0,0
3.01442E+17,0,0,0,60,13,90
2.94331E+17,60,24,168,0,0,0
2.96583E+17,60,10.5,54.72,0,0,31.28
2.99214E+17,60,24,168,0,0,0
2.98381E+17,60,20.18,152.06,0,3.82,15.94
3.08085E+17,60,23.98,167.88,0,0,0
3.11438E+17,60,9,63,0,0,0
3.10471E+17,0,0,30.42,60,10.5,43.08
2.64348E+17,60,23.98,167.88,0,0,0
3.14822E+17,60,11.5,80.5,0,0,0
3.13346E+17,60,23.98,167.88,0,0,0
2.9646E+17,60,17.98,124.9,0,0,0
2.97223E+17,60,5.5,65,0,0,0
3.13846E+17,60,13,87,0,0,0
3.11746E+17,0,0,41,60,14,57.97
2.98858E+17,0,6.5,45.5,60,0,0
3.24302E+17,0,11,79,60,0,0
3.11712E+17,60,16.5,115.5,0,0,0
2.26385E+17,60,24,168,0,0,0
3.24582E+17,60,24,168,0,0,0
3.32574E+17,0,0,36.85,60,12,51.12
3.17582E+17,60,11.73,82.13,0,0,0
2.97114E+17,60,24,168,0,0,0
3.38392E+17,60,15,103,0,0,0
3.35434E+17,0,0,0,60,24,168
2.93048E+17,60,9,63,0,0,0
3.15743E+17,60,24,168,0,0,0
3.06276E+17,0,0,46.96,60,17,72.04
3.25241E+17,60,23.98,108.17,0,0,39.74
3.15824E+17,0,0,13.5,60,6,24
3.39145E+17,0,11,77,60,0,0
2.72978E+17,60,24,168,0,0,0
3.34012E+17,60,23.98,167.88,0,0,0
2.08975E+17,0,0,0,60,24,168
2.36544E+17,60,13.5,88.5,0,0,0
3.2795E+17,0,0,0,60,24,168
3.26856E+17,0,0,0,60,10.5,87
2.99227E+17,60,9,63,0,0,0
3.22058E+17,60,16,112,0,0,0
2.67404E+17,60,24,167.02,0,0,0.98
3.24737E+17,0,0,34.2,60,11.75,51.05
3.33184E+17,60,24,168,0,0,0
3.12955E+17,60,14,98,0,0,0
3.14674E+17,0,0,0,60,24,168
3.05829E+17,0,0,54.77,60,24,113.23
3.36149E+17,60,24,168,0,0,0
2.93858E+17,60,1.2,3.18,0,22.8,164.82
2.64846E+17,0,10,70,60,0,0
2.53923E+17,60,13.5,92,0,0,0
2.80641E+17,0,0,0,60,9.25,71
3.20491E+17,0,13,90,60,0,0
3.21846E+17,60,24,168,0,0,0
3.13197E+17,60,13,93.95,0,0,0
3.23473E+17,60,10,88,0,0,0
3.26214E+17,60,15.5,105.5,0,0,0
3.27085E+17,0,14.87,94.94,60,9.12,72.94
3.28487E+17,60,23.98,165.87,0,0,2.01
2.88461E+17,60,9.75,66.25,0,0,0
3.17071E+17,0,0,64.08,60,24,103.92
3.33363E+17,0,5.78,65,60,0,0
2.98215E+17,60,10.5,73.5,0,0,0
3.29698E+17,60,10.5,73.5,0,0,0
3.22933E+17,60,18.5,129.5,0,0,0
3.39342E+17,0,0,0,60,24,168
3.38646E+17,0,0,0,60,11,77
3.07252E+17,0,5.78,60,60,0,0
3.19862E+17,60,23.98,167.88,0,0,0
3.25043E+17,60,10.75,64.23,0,0,0
3.42546E+17,0,0.85,73.84,60,23.13,86.56
3.39217E+17,0,0,0,60,12,84
3.39528E+17,60,9.5,68.5,0,0,0
3.36639E+17,0,0,0,60,24,168
3.37562E+17,0,0,0,60,15,105
3.40269E+17,60,12.5,85.5,0,0,0
3.30169E+17,0,0,0,60,24,168
3.06127E+17,60,17.5,118.5,0,0,0
2.87679E+17,60,24,168,0,0,0
3.2857E+17,0,0,0,60,10,84
3.37307E+17,60,17,119,0,0,0
3.26547E+17,0,4,28,60,0,0
